created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Mar 10 10:44:55 +0000 2024;1766777245354615277;"Terimakasih untuk 700k foll di tik tokk🫶🏻🥹";1;127;59;3976;in;1586992742093103104;1766777245354615277;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1766777245354615277
Sat Mar 09 14:14:21 +0000 2024;1766467564841074880;"https://t.co/6SDrAVLL4N";1;34;39;2106;zxx;1586992742093103104;1766467564841074880;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1766467564841074880
Fri Mar 08 19:01:32 +0000 2024;1766177450025951503;"Gen 11🏠";6;98;108;6359;und;1586992742093103104;1766177450025951503;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1766177450025951503
Thu Mar 07 16:07:35 +0000 2024;1765771284502421875;"Mau vn di pm🫶🏻";2;47;55;4359;vi;1586992742093103104;1765771284502421875;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1765771284502421875
Thu Mar 07 16:01:04 +0000 2024;1765769645355888809;"TFTTT🫶🏻🫶🏻🫶🏻 https://t.co/f0LyQCmFB9";6;82;515;8564;und;1586992742093103104;1765769645355888809;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1765769645355888809
Thu Mar 07 15:14:36 +0000 2024;1765757952840093967;"@SNayla_JKT48 @Michie_JKT48 @Gracie_JKT48 @Greesel_JKT48 @AR_AnindyaJKT48 @Daisy_JKT48 @Danella_JKT48 @Elin_JKT48 @Gendis_JKT48 @Jeane_JKT48 @AA_AlyaJKT48 @DC_ChelseaJKT48 @Y_CynthiaJKT48 Maaf Nayla ini buat gen 11+Trisha aja🙏🏻";42;291;140;5614;in;1586992742093103104;1765282896104002031;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1765757952840093967
Wed Mar 06 16:20:51 +0000 2024;1765412234304610492;"Idn live yhuuu";3;83;43;4881;en;1586992742093103104;1765412234304610492;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1765412234304610492
Wed Mar 06 07:46:54 +0000 2024;1765282896104002031;"Mau ajak gen 11 naik ini 🫵🏻 @Michie_JKT48 @Gracie_JKT48  @Greesel_JKT48 @AR_AnindyaJKT48  @Daisy_JKT48 @Danella_JKT48  @Elin_JKT48 @Gendis_JKT48 @Jeane_JKT48 @AA_AlyaJKT48 @DC_ChelseaJKT48 @Y_CynthiaJKT48 https://t.co/hvi5C5R4At";9;224;355;10878;in;1586992742093103104;1765282896104002031;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1765282896104002031
Tue Mar 05 18:15:25 +0000 2024;1765078681150747130;"@N_ShaniJKT48 semangat ciciiii🫶🏻😔";0;50;144;6602;in;1586992742093103104;1765025940693045524;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1765078681150747130
Tue Mar 05 09:17:27 +0000 2024;1764943296760054125;"Seee u vc🫵🏻";1;55;60;4695;pt;1586992742093103104;1764943296760054125;N_CathyJKT48;https://twitter.com/N_CathyJKT48/status/1764943296760054125
